"","File","ges.freq","descr.dur.sec","ges.rate.min","PoT","stroke.freq","hold.freq","prep.freq","retr.freq","stroke.rate.min","hold.rate.min","prep.rate.min","retr.rate.min","item","gender","language","condition","run","subject"
"53","leuven6a_run1","17","65.92","15.4733009708738","0.675364077669903","24","7","11","12","21.8446601941748","6.37135922330097","10.0121359223301","10.9223300970874","gym","f","french","nns","run1","LE6a"
"54","leuven6a_run2","30","167.48","10.7475519465011","0.827083830905183","38","14","6","16","13.6135657989014","5.0155242417005","2.14951038930021","5.73202770480057","gym","f","french","nns","run2","LE6a"
"55","leuven6b_run1","16","68.36","14.0433001755413","0.515506143943827","23","0","9","22","20.1872440023406","0","7.89935634874195","19.3095377413692","forest","m","dutch","nns","run1","LE6b"
"56","leuven6b_run2","20","103.64","11.5785411038209","0.564260903126206","28","2","10","16","16.2099575453493","1.15785411038209","5.78927055191046","9.26283288305673","playground","m","dutch","nns","run2","LE6b"
"57","leuven7a_run1","28","150.84","11.1376292760541","0.477592150623177","54","10","30","30","21.4797136038186","3.97772474144789","11.9331742243437","11.9331742243437","gym","f","dutch","nns","run1","LE7a"
"58","leuven7a_run2","31","132.84","14.0018066847335","0.763625414031918","54","37","20","14","24.390243902439","16.7118337850045","9.03342366757001","6.32339656729901","lake","f","dutch","nns","run2","LE7a"
"59","leuven7b_run1","30","136.56","13.1810193321617","0.656414762741652","44","11","13","22","19.3321616871705","4.83304042179262","5.71177504393673","9.66608084358524","forest","f","french","nns","run1","LE7b"
"60","leuven7b_run2","26","120","13","0.786","42","7","29","20","21","3.5","14.5","10","playground","f","french","nns","run2","LE7b"
"61","leuven8a_run1","29","129.84","13.4011090573013","0.606900800985829","51","3","22","7","23.5674676524954","1.38632162661738","10.1663585951941","3.23475046210721","gym","m","dutch","nns","run1","LE8a"
"62","leuven8a_run2","29","144.84","12.013256006628","0.794531897265949","53","6","18","6","21.9552609776305","2.48550124275062","7.45650372825186","2.48550124275062","lake","m","dutch","nns","run2","LE8a"
"63","leuven8b_run1","18","115.24","9.37174592155502","0.487330787920861","35","2","13","13","18.2228392919125","1.041305102395","6.76848316556751","6.76848316556751","forest","f","french","nns","run1","LE8b"
"64","leuven8b_run2","15","88.84","10.130571814498","0.734804142278253","24","6","15","12","16.2089149031968","4.05222872579919","10.130571814498","8.10445745159838","playground","f","french","nns","run2","LE8b"
"65","leuven9a_run1","29","88.68","19.6211096075778","0.788452864230943","55","15","39","8","37.212449255751","10.148849797023","26.3870094722598","5.4127198917456","gym","f","dutch","nns","run1","LE9a"
"66","leuven9a_run2","16","62.6","15.3354632587859","0.803194888178914","26","1","11","6","24.9201277955272","0.958466453674121","10.5431309904153","5.75079872204473","lake","f","dutch","nns","run2","LE9a"
"67","leuven9b_run1","23","81.44","16.9449901768173","0.674852652259332","34","11","16","5","25.049115913556","8.1041257367387","11.7878192534381","3.68369351669941","forest","f","french","nns","run1","LE9b"
"68","leuven9b_run2","24","69.84","20.6185567010309","0.819587628865979","35","13","30","16","30.0687285223368","11.1683848797251","25.7731958762887","13.745704467354","playground","f","french","nns","run2","LE9b"
"69","luik1a_run1","13","51.24","15.2224824355972","0.719750195160031","17","6","3","3","19.9063231850117","7.02576112412178","3.51288056206089","3.51288056206089","forest","f","french","ns","run1","LU1a"
"70","luik1a_run2","18","44","24.5454545454545","0.699090909090909","27","2","12","12","36.8181818181818","2.72727272727273","16.3636363636364","16.3636363636364","playground","f","french","ns","run2","LU1a"
"71","luik1b_run1","22","89.16","14.8048452220727","0.62090623598026","32","1","8","11","21.5343203230148","0.672947510094213","5.3835800807537","7.40242261103634","gym","f","french","ns","run1","LU1b"
"72","luik1b_run2","16","74.2","12.9380053908356","0.695956873315364","22","1","11","11","17.7897574123989","0.808625336927224","8.89487870619946","8.89487870619946","lake","f","french","ns","run2","LU1b"
"73","luik2a_run1","16","54.48","17.6211453744493","0.8928046989721","17","13","3","4","18.7224669603524","14.3171806167401","3.30396475770925","4.40528634361234","forest","m","french","ns","run1","LU2a"
"74","luik2a_run2","14","62.6","13.4185303514377","0.704792332268371","25","14","7","8","23.961661341853","13.4185303514377","6.70926517571885","7.66773162939297","playground","m","french","ns","run2","LU2a"
"75","luik2b_run1","20","79.2","15.1515151515152","0.612121212121212","34","19","18","6","25.7575757575758","14.3939393939394","13.6363636363636","4.54545454545455","gym","f","french","ns","run1","LU2b"
"76","luik2b_run2","27","88.56","18.2926829268293","0.917795844625113","41","17","20","3","27.7777777777778","11.5176151761518","13.550135501355","2.03252032520325","lake","f","french","ns","run2","LU2b"
"77","luik3a_run1","18","53.08","20.3466465712133","0.85380557648832","22","8","12","8","24.8681235870384","9.04295403165034","13.5644310474755","9.04295403165034","forest","f","french","ns","run1","LU3a"
"78","luik3a_run2","17","56.56","18.033946251768","0.516973125884017","26","0","7","7","27.5813295615276","0","7.42574257425743","7.42574257425743","lake","f","french","ns","run2","LU3a"
"79","luik3b_run1","5","38.72","7.74793388429752","0.334710743801653","8","0","8","6","12.396694214876","0","12.396694214876","9.29752066115702","playground","f","french","ns","run1","LU3b"
"80","luik3b_run2","12","54.96","13.1004366812227","0.545123726346434","14","0","8","8","15.2838427947598","0","8.73362445414847","8.73362445414847","gym","f","french","ns","run2","LU3b"
"81","luik4a_run1","12","57.72","12.4740124740125","0.547470547470547","20","6","10","2","20.7900207900208","6.23700623700624","10.3950103950104","2.07900207900208","forest","f","french","ns","run1","LU4a"
"82","luik4a_run2","11","53.16","12.4153498871332","0.425131677953348","17","2","13","12","19.1873589164786","2.25733634311512","14.6726862302483","13.5440180586907","playground","f","french","ns","run2","LU4a"
"83","luik4b_run1","6","29.96","12.0160213618158","0.344459279038718","9","0","1","1","18.0240320427236","0","2.00267022696929","2.00267022696929","gym","m","french","ns","run1","LU4b"
"84","luik4b_run2","14","45.84","18.3246073298429","0.418848167539267","15","1","4","2","19.6335078534031","1.30890052356021","5.23560209424084","2.61780104712042","lake","m","french","ns","run2","LU4b"
"85","luik5b_run1","7","84.08","4.99524262607041","0.158896289248335","13","0","3","7","9.27687916270219","0","2.14081826831589","4.99524262607041","gym","f","french","ns","run1","LU5b"
"86","luik5b_run2","10","82.44","7.27802037845706","0.334788937409025","15","4","4","4","10.9170305676856","2.91120815138282","2.91120815138282","2.91120815138282","lake","f","french","ns","run2","LU5b"
